,alt,rh,temp,pressure,att_bsc
0,151.73187255859375,88.0,-9.899993896484375,1024.309326171875,-
1,155.0620574951172,94.53710174560547,-9.876800537109375,1024.024169921875,-
2,159.525390625,94.52468872070312,-9.954498291015625,1023.1837768554688,-
3,164.96795654296875,94.97473907470703,-10.080657958984375,1022.3828125,-
4,167.8138191492509,-,-,-,1.2022431344952886e-06
5,170.819091796875,95.1488037109375,-10.165069580078125,1021.688720703125,-
6,176.63162231445312,94.94529724121094,-10.218963623046875,1021.0119018554688,-
7,182.12811279296875,94.76675415039062,-10.23614501953125,1020.4072265625,-
8,187.19874572753906,94.6547622680664,-10.250579833984375,1019.7388916015625,-
9,192.09779357910156,94.60023498535156,-10.181915283203125,1019.057861328125,-
10,197.0129852294922,94.66047668457031,-10.064483642578125,1018.3638305664062,-
11,197.69966075729837,-,-,-,5.834513730875708e-07
12,201.70623779296875,94.54222106933594,-9.9466552734375,1017.6546020507812,-
13,206.28765869140625,94.0500259399414,-9.815093994140625,1016.9288940429688,-
14,211.32275390625,93.28563690185547,-9.630340576171875,1016.189453125,-
15,217.28836059570312,91.99730682373047,-9.281524658203125,1015.4439086914062,-
16,224.2401123046875,89.82293701171875,-8.756378173828125,1014.7012939453125,-
17,227.58550236534586,-,-,-,6.716924376907179e-07
18,231.40098571777344,86.79950714111328,-7.963714599609375,1013.9703369140625,-
19,238.02243041992188,83.18048858642578,-7.130340576171875,1013.25830078125,-
20,243.84881591796875,79.98466491699219,-6.611572265625,1012.569091796875,-
21,249.22291564941406,77.91386413574219,-6.237213134765625,1011.9026489257812,-
22,253.8418426513672,76.59451293945312,-5.946044921875,1011.2540283203125,-
23,257.47134397339335,-,-,-,1.0041466867752977e-06
24,257.70452880859375,75.8838882446289,-5.7098388671875,1010.6165771484375,-
25,261.6690979003906,75.8644790649414,-5.45916748046875,1009.9825439453125,-
26,266.5858459472656,76.13411712646484,-5.29461669921875,1009.3491821289062,-
27,272.30572509765625,76.220947265625,-5.136962890625,1008.7168579101562,-
28,278.0650634765625,75.90167236328125,-4.985382080078125,1008.083984375,-
29,283.2758483886719,75.35629272460938,-4.725555419921875,1007.4506225585938,-
30,287.35718558144083,-,-,-,1.1779927587530663e-06
31,287.5318298339844,74.7018814086914,-4.488861083984375,1006.8170776367188,-
32,291.3417053222656,74.1571273803711,-4.350555419921875,1006.182861328125,-
33,295.46478271484375,73.8587417602539,-4.242401123046875,1005.5460815429688,-
34,300.16705322265625,73.683349609375,-4.135894775390625,1004.9081420898438,-
35,305.3383483886719,73.55535888671875,-4.08282470703125,1004.2730102539062,-
